IRHT_P_005732.tif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btv1b90767290_f59_2.tif,0.02,0.0,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
btv1b9059074s_f23.tif,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
IRHT_P_004993.tif,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.05,0.01,0.92,0.0
IRHT_P_006636.tif,0.84,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
330636101_MS0129_0111.tif,0.0,0.21,0.0,0.0,0.0,0.72,0.0,0.07,0.0,0.0,0.0,0.0
IRHT_P_003102.tif,0.91,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
M601415401_MS0456_0033.tif,0.0,0.04,0.0,0.07,0.81,0.02,0.01,0.02,0.0,0.0,0.01,0.0
M601415401_MS0455_0004.tif,0.05,0.0,0.47,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.44
IRHT_P_001850.tif,0.03,0.01,0.0,0.01,0.01,0.0,0.92,0.0,0.0,0.0,0.02,0.0
IRHT_P_006419.tif,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.96,0.0
IRHT_P_005716.tif,0.01,0.92,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.03,0.0
IRHT_P_008713.tif,0.7,0.01,0.05,0.04,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.09
IRHT_P_006841.tif,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
IRHT_P_004752.tif,0.0,0.01,0.0,0.04,0.0,0.01,0.05,0.0,0.04,0.07,0.78,0.0
IRHT_P_007594.tif,0.96,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
IRHT_P_004304.tif,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.21,0.0
IRHT_P_005313.tif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.76,0.0
IRHT_P_008602.tif,0.0,0.0,0.0,0.51,0.37,0.03,0.0,0.0,0.09,0.0,0.0,0.0
IRHT_P_005735.tif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M601415401_MS0217_0207.tif,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.51,0.26,0.22,0.0
IRHT_P_004062.tif,0.0,0.18,0.0,0.0,0.03,0.01,0.0,0.75,0.0,0.0,0.02,0.0
IRHT_P_006297.tif,0.02,0.1,0.0,0.01,0.01,0.03,0.02,0.04,0.05,0.0,0.72,0.01
btv1b9078150z_f16.tif,0.37,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
IRHT_P_005610.tif,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
